Distance in m,Latitude in °,Longitude in °,Altitude in °,X in m,Y in m,Z in m,v_max_day in km/h,v_max_night in km/h,Station,Switch,Urban
,49.81079382,8.646077471,165.9742638,4077203.407,619973.3475,4849361.845,60,FALSE,FALSE,FALSE,TRUE
,49.81079271,8.646077273,165.9753163,4077203.502,619973.3476,4849361.767,60,FALSE,FALSE,FALSE,TRUE
,49.81079161,8.646077077,165.9768692,4077203.598,619973.3479,4849361.689,60,FALSE,FALSE,FALSE,TRUE
,49.81079051,8.646076882,165.9778206,4077203.694,619973.3482,4849361.611,60,FALSE,FALSE,FALSE,TRUE
,49.81078941,8.646076683,165.9797309,4077203.789,619973.3482,4849361.533,60,FALSE,FALSE,FALSE,TRUE
,49.8107883,8.646076487,165.9808864,4077203.885,619973.3486,4849361.455,60,FALSE,FALSE,FALSE,TRUE
,49.81078719,8.646076291,165.9823809,4077203.981,619973.3489,4849361.376,60,FALSE,FALSE,FALSE,TRUE
,49.81078609,8.646076092,165.9832333,4077204.077,619973.349,4849361.298,60,FALSE,FALSE,FALSE,TRUE
,49.81078498,8.646075898,165.9847384,4077204.173,619973.3494,4849361.219,60,FALSE,FALSE,FALSE,TRUE
,49.81078387,8.646075704,165.9857454,4077204.269,619973.3499,4849361.14,60,FALSE,FALSE,FALSE,TRUE
,49.81078276,8.646075501,165.987622,4077204.365,619973.3498,4849361.062,60,FALSE,FALSE,FALSE,TRUE
,49.81078165,8.646075304,165.9892844,4077204.462,619973.3501,4849360.984,60,FALSE,FALSE,FALSE,TRUE
,49.81078055,8.646075104,165.9902941,4077204.558,619973.3501,4849360.905,60,FALSE,FALSE,FALSE,TRUE
,49.81077943,8.646074903,165.9919098,4077204.654,619973.3501,4849360.827,60,FALSE,FALSE,FALSE,TRUE
,49.81077832,8.646074702,165.9935125,4077204.751,619973.3502,4849360.748,60,FALSE,FALSE,FALSE,TRUE
,49.81077721,8.646074499,165.994882,4077204.847,619973.3501,4849360.669,60,FALSE,FALSE,FALSE,TRUE
,49.8107761,8.646074299,165.9965539,4077204.944,619973.3502,4849360.591,60,FALSE,FALSE,FALSE,TRUE
,49.81077499,8.646074099,165.9978263,4077205.04,619973.3503,4849360.512,60,FALSE,FALSE,FALSE,TRUE
,49.81077387,8.646073895,165.999247,4077205.137,619973.3501,4849360.433,60,FALSE,FALSE,FALSE,TRUE
,49.81077276,8.64607369,166.0005543,4077205.233,619973.3499,4849360.355,60,FALSE,FALSE,FALSE,TRUE
,49.81077164,8.646073492,166.0022076,4077205.33,619973.3503,4849360.275,60,FALSE,FALSE,FALSE,TRUE
,49.81077053,8.646073288,166.0036897,4077205.427,619973.3501,4849360.196,60,FALSE,FALSE,FALSE,TRUE
